_key,Event_ID,team,event_team,event_time,event_type,action_player_1,action_player_2
727,727,Poland,home,39,Goal,zieli艅ski,
728,728,Saudi Arabia,away,46,Missed penalty,al-dawsari,lewandowski
729,729,Saudi Arabia,away,49,Yellow card,al-amri,
730,730,Saudi Arabia,away,45,Substitution,al-breik,Al-Owais
731,731,Poland,home,63,Substitution,kami艅ski,zieli艅ski
732,732,Saudi Arabia,away,65,Substitution,al-ghanam,al-najei
733,733,Poland,home,71,Substitution,lewandowski,milik
734,734,Poland,home,82,Goal,lewandowski,milik
735,735,Saudi Arabia,away,85,Substitution,Al-Amri,Kanno
736,736,Saudi Arabia,away,86,Substitution,al-dawsari,al-malki
737,737,Saudi Arabia,away,95,Substitution,Al-Ghanam,al-shehri
738,738,Australia,away,23,Goal,duke,
739,739,Tunisia,home,26,Yellow card,la茂douni,
740,740,Tunisia,home,45,Substitution,la茂douni,Dahmen
741,741,Australia,away,64,Substitution,Irvine,mcgree
742,742,Australia,away,64,Substitution,Atkinson,duke
743,743,Tunisia,home,64,Yellow card,abdi,dr盲ger
744,744,Tunisia,home,67,Substitution,khazri,
745,745,Tunisia,home,73,Substitution,bronn,la茂douni
746,746,Tunisia,home,73,Substitution,kechrida,jebali
747,747,Australia,away,75,Substitution,degenek,Rowles
748,748,Australia,away,85,Substitution,leckie,kara膷i膰
749,749,Australia,away,85,Substitution,baccus,goodwin
750,750,Tunisia,home,93,Yellow card,Skhiri,
751,751,England,home,68,Substitution,Mount,Foden
752,752,England,home,69,Substitution,henderson,sterling
753,753,USA,away,77,Substitution,Weah,Sargent
754,754,USA,away,78,Substitution,Zimmerman,mckennie
755,755,England,home,78,Substitution,rashford,saka
756,756,USA,away,83,Substitution,dest,Adams
757,757,USA,away,83,Substitution,sargent,weah
758,758,Netherlands,home,6,Goal,gakpo,
759,759,Netherlands,home,45,Substitution,memphis,klaassen
760,760,Ecuador,away,49,Goal,valencia,
761,761,Ecuador,away,57,Yellow card,m茅ndez,
762,762,Netherlands,home,69,Substitution,berghuis,Klaassen
763,763,Ecuador,away,74,Substitution,Gal铆ndez,Ibarra
764,764,Netherlands,home,79,Substitution,de roon,Blind
765,765,Netherlands,home,80,Substitution,Timber,koopmeiners
766,766,Ecuador,away,90,Substitution,Estrada,valencia
767,767,Ecuador,away,90,Substitution,ibarra,valencia
768,768,Qatar,home,20,Yellow card,Barsham,
769,769,Senegal,away,30,Yellow card,dia,
770,770,Senegal,away,41,Goal,dia,
771,771,Qatar,home,47,Yellow card,Boudiaf,Homam
772,772,Senegal,away,48,Goal,di茅dhiou,
773,773,Senegal,away,52,Yellow card,jakobs,jakobs
774,774,Senegal,away,64,Substitution,ciss,Diatta
775,775,Qatar,home,69,Substitution,Boudiaf,Afif
776,776,Senegal,away,74,Substitution,Mendy,Sarr
777,777,Qatar,home,74,Substitution,Al Sheeb,Al Haydos
778,778,Senegal,away,74,Substitution,ndiaye,Di茅dhiou
779,779,Senegal,away,77,Substitution,Sabaly,Gueye
780,780,Senegal,away,77,Substitution,Sarr,mendy
781,781,Qatar,home,78,Goal,Al Haydos,
782,782,Qatar,home,83,Substitution,Bassam,Khoukhi
783,783,Qatar,home,83,Substitution,Ismail,Almoez
784,784,Senegal,away,84,Goal,Koulibaly,
785,785,Senegal,away,87,Yellow card,ciss,ndiaye
786,786,Qatar,home,91,Yellow card,Al Haydos,
787,787,Iran,away,15,Disallowed goal,Moharrami,
788,788,Wales,home,48,Yellow card,rodon,
789,789,Wales,home,57,Substitution,Ampadu,Bale
790,790,Wales,home,58,Substitution,james,roberts
791,791,Iran,away,68,Substitution,Moharrami,Nourollahi
792,792,Iran,away,77,Substitution,jahanbakhsh,azmoun
793,793,Iran,away,77,Substitution,Rezaeian,gholizadeh
794,794,Wales,home,77,Substitution,allen,Hennessey
795,795,Iran,away,78,Substitution,cheshmi,Hosseini
796,796,Iran,away,83,Substitution,karimi,nourollahi
797,797,Wales,home,86,Red card,hennessey,ezatolahi
798,798,Wales,home,87,Substitution,ward,Ramsey
799,799,Iran,away,94,Yellow card,rezaeian,ramsey
800,800,Iran,away,95,Yellow card,jahanbakhsh,
801,801,Iran,away,98,Goal,cheshmi,
802,802,Iran,away,101,Goal,rezaeian,
803,803,Serbia,away,7,Yellow card,pavlovi膰,taremi
804,804,Serbia,away,49,Yellow card,gudelj,
805,805,Serbia,away,57,Substitution,Pavlovi膰,Milinkovi膰-Savi膰
806,806,Serbia,away,57,Substitution,Milinkovi膰-Savi膰,gudelj
