event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
198,10,Morocco,home,84,Substitution,El Yamiq,Aguerd
199,10,Morocco,home,90,Yellow card,Saïss,nan
200,10,Spain,away,98,Substitution,Fati,Olmo
201,10,Spain,away,98,Substitution,Baldé,Alba
202,10,Spain,away,118,Substitution,Sarabia,Williams
203,10,Morocco,home,120,Substitution,Benoun,Ounahi
204,10,Morocco,home,,PK,nan,nan
205,10,Spain,away,,PK,nan,nan
206,10,Morocco,home,,PK,nan,nan
207,10,Spain,away,,PK,nan,nan
208,10,Morocco,home,,PK,nan,nan
209,10,Spain,away,,PK,nan,nan
210,10,Morocco,home,,PK,nan,nan
211,11,Brazil,home,7,Goal,Júnior,Neymar
212,11,Brazil,home,13,Penalty,Neymar,Penalty
213,11,Brazil,home,29,Goal,Richarlison,Silva
214,11,Brazil,home,36,Goal,Paquetá,Júnior
215,11,South Korea,away,44,Yellow card,Woo-young,nan
216,11,South Korea,away,45,Substitution,Chul,Jin-su
217,11,South Korea,away,45,Substitution,Jun-ho,Woo-young
218,11,Brazil,home,63,Substitution,Alves,Militão
219,11,South Korea,away,65,Substitution,Seung-ho,In-beom
220,11,Brazil,home,72,Substitution,Bremer,Danilo
221,11,Brazil,home,72,Substitution,Martinelli,Júnior
222,11,South Korea,away,74,Substitution,Kang-in,Jae-sung
223,11,South Korea,away,76,Goal,Seung-ho,nan
224,11,Brazil,home,80,Substitution,Weverton,Alisson
225,11,South Korea,away,80,Substitution,Ui-jo,Gue-sung
226,11,Brazil,home,81,Substitution,Rodrygo,Neymar
227,12,Japan,home,43,Goal,Maeda,Yoshida
228,12,Croatia,away,55,Goal,Perišić,Lovren
229,12,Croatia,away,62,Substitution,Budimir,Petković
230,12,Japan,home,64,Substitution,Mitoma,Nagatomo
231,12,Japan,home,64,Substitution,Asano,Maeda
232,12,Croatia,away,68,Substitution,Pašalić,Kramarić
233,12,Japan,home,75,Substitution,Sakai,Kamada
234,12,Japan,home,87,Substitution,Minamino,Dōan
235,12,Croatia,away,90,Yellow card,Kovačić,nan
236,12,Croatia,away,99,Substitution,Majer,Modrić
237,12,Croatia,away,99,Substitution,Vlašić,Kovačić
238,12,Japan,home,105,Substitution,Tanaka,Morita
239,12,Croatia,away,105,Substitution,Livaja,Budimir
240,12,Croatia,away,105,Substitution,Oršić,Perišić
241,12,Croatia,away,116,Yellow card,Barišić,nan
242,12,Japan,home,,PK,nan,nan
243,12,Croatia,away,,PK,nan,nan
244,12,Japan,home,,PK,nan,nan
245,12,Croatia,away,,PK,nan,nan
246,12,Japan,home,,PK,nan,nan
247,12,Croatia,away,,PK,nan,nan
248,12,Japan,home,,PK,nan,nan
249,12,Croatia,away,,PK,nan,nan
250,13,England,home,39,Goal,Henderson,Bellingham
251,13,England,home,48,Goal,Kane,Foden
252,13,Senegal,away,45,Substitution,Gueye,Ciss
