team_name_away,player_names_away,player_numbers_away
Japan,"['Maeda', 'Kubo', 'Kamada', 'Ito', 'Tanaka', 'Endo', 'Nagatomo', 'Yoshida', 'Itakura', 'Sakai', 'Gonda']","['25', '11', '15', '14', '17', '6', '5', '22', '4', '19', '12']"
Croatia,"['Perišić', 'Kramarić', 'Vlašić', 'Kovačić', 'Brozović', 'Modrić', 'Sosa', 'Gvardiol', 'Lovren', 'Juranović', 'Livaković']","['4', '9', '13', '8', '11', '10', '19', '20', '6', '22', '1']"
Australia,"['Duke', 'Goodwin', 'McGree', 'Irvine', 'Leckie', 'Mooy', 'Behich', 'Rowles', 'Souttar', 'Atkinson', 'Ryan']","['15', '23', '14', '22', '7', '13', '16', '4', '19', '3', '1']"
Poland,"['Lewandowski', 'Zalewski', 'Szymański', 'Zieliński', 'Kamiński', 'Krychowiak', 'Bereszyński', 'Kiwior', 'Glik', 'Cash', 'Szczęsny']","['9', '21', '19', '20', '13', '10', '18', '14', '15', '2', '1']"
Tunisia,"['Jebali', 'Msakni', 'Slimane', 'Abdi', 'Laïdouni', 'Skhiri', 'Dräger', 'Talbi', 'Meriah', 'Bronn', 'Dahmen']","['9', '7', '25', '24', '14', '17', '20', '3', '4', '6', '16']"
Saudi Arabia,"['Al-Shehri', 'Al-Dawsari', 'Kanno', 'Al-Faraj', 'Al-Buraikan', 'Al-Malki', 'Al-Shahrani', 'Al-Bulaihi', 'Al-Tambakti', 'Abdulhamid', 'Al-Owais']","['11', '10', '23', '7', '9', '8', '13', '5', '17', '12', '21']"
Wales,"['James', 'Bale', 'Williams', 'Wilson', 'Ampadu', 'Ramsey', 'Roberts', 'Davies', 'Rodon', 'Mepham', 'Hennessey']","['20', '11', '3', '8', '15', '10', '14', '4', '6', '5', '1']"
Netherlands,"['Bergwijn', 'Janssen', 'Gakpo', 'Blind', 'De Jong', 'Berghuis', 'Dumfries', 'Aké', 'Van Dijk', 'De Ligt', 'Noppert']","['7', '18', '8', '17', '21', '11', '22', '5', '4', '3', '23']"
Iran,"['Taremi', 'Hajsafi', 'Karimi', 'Nourollahi', 'Jahanbakhsh', 'Mohammadi', 'Hosseini', 'Cheshmi', 'Pouraliganji', 'Moharrami', 'Beiranvand']","['9', '3', '18', '21', '7', '5', '19', '15', '8', '2', '1']"
Ecuador,"['Estrada', 'Valencia', 'Ibarra', 'Caicedo', 'Méndez', 'Plata', 'Estupiñán', 'Hincapié', 'Torres', 'Preciado', 'Galíndez']","['11', '13', '10', '23', '20', '19', '7', '3', '2', '17', '1']"
